nome,cidade,idade
Yago Casa Grande,Rodrigues do Galho,32
Renan Guerra,Nascimento,40
Bella Moraes,da Conceição de Fogaça,94
Nicolas da Rocha,Camargo Grande,43
Bryan Cardoso,Cassiano,32
Milena Brito,Abreu de Cardoso,29
Evelyn Fernandes,Mendes,84
Juan Vasconcelos,da Mota,32
Ryan Costela,Peixoto do Sul,58
Lucca Viana,da Mota,94
João Vitor da Cruz,Cavalcanti,86
Mariah Freitas,da Conceição,63
Lucas Nunes,Porto de Goiás,51
Benjamim Lima,Cassiano,82
Dra. Gabriela Azevedo,Gomes do Sul,34
Julia Rezende,Câmara Paulista,85
Marina Caldeira,Lopes da Praia,100
Sr. Mathias da Luz,Pinto Alegre,19
Enrico Cavalcanti,Cirino,21
Olívia Lima,Pereira do Galho,26
